Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Population,Value Footnotes
Australia,2011,Total,Female,CANBERRA,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,197703,"7,8"
Australia,2011,Total,Female,Canberra-Queanbeyan,City proper,Estimate - de jure,Provisional figure,2013,203239,6
Australia,2011,Total,Female,Central Coast,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,157827,"7,8"
Australia,2011,Total,Female,Darwin,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,50831,"7,8"
Australia,2011,Total,Female,Darwin,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,57688,"7,8"
Australia,2011,Total,Female,Geelong,City proper,Estimate - de jure,Provisional figure,2013,89736,6
Australia,2011,Total,Female,Geelong,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,89040,"7,8"
Australia,2011,Total,Female,Gold Coast-Tweed Heads,City proper,Estimate - de jure,Provisional figure,2013,295429,6
Australia,2011,Total,Female,Gold Coast-Tweed Heads,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,285946,"7,8"
Australia,2011,Total,Female,Greater Adelaide,City proper,Estimate - de jure,Provisional figure,2013,642668,6
Australia,2011,Total,Female,Greater Brisbane,City proper,Estimate - de jure,Provisional figure,2013,1080283,6
Australia,2011,Total,Female,Greater Darwin,City proper,Estimate - de jure,Provisional figure,2013,61606,6
Australia,2011,Total,Female,Greater Hobart,City proper,Estimate - de jure,Provisional figure,2013,109475,6
Australia,2011,Total,Female,Greater Melbourne,City proper,Estimate - de jure,Provisional figure,2013,2111660,6
Australia,2011,Total,Female,Greater Perth,City proper,Estimate - de jure,Provisional figure,2013,918714,6
Australia,2011,Total,Female,Greater Sydney,City proper,Estimate - de jure,Provisional figure,2013,2323344,6
Australia,2011,Total,Female,Greater Wollongong,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,136173,"7,8"
Australia,2011,Total,Female,Hobart,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,103251,"7,8"
Australia,2011,Total,Female,Hobart,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,108776,"7,8"
Australia,2011,Total,Female,Melbourne,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,1956699,"7,8"
Australia,2011,Total,Female,Melbourne,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,2033479,"7,8"
Australia,2011,Total,Female,Newcastle,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,203341,"7,8"
Australia,2011,Total,Female,Newcastle-Maitland,City proper,Estimate - de jure,Provisional figure,2013,209255,6
Australia,2011,Total,Female,Perth,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,842220,"7,8"
Australia,2011,Total,Female,Perth,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,870560,"7,8"
Australia,2011,Total,Female,Sunshine Coast,City proper,Estimate - de jure,Provisional figure,2013,143799,6
Australia,2011,Total,Female,Sunshine Coast,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,139842,"7,8"
Australia,2011,Total,Female,Sydney,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,2042602,"7,8"
Australia,2011,Total,Female,Sydney,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,2229453,"7,8"
Australia,2011,Total,Female,Toowoomba,City proper,Estimate - de jure,Provisional figure,2013,56369,6
Australia,2011,Total,Female,Toowoomba,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,55121,"7,8"
Australia,2011,Total,Female,Townsville,City proper,Estimate - de jure,Provisional figure,2013,83917,6
Australia,2011,Total,Female,Townsville,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,81556,"7,8"
Australia,2011,Total,Female,Wollongong,City proper,Estimate - de jure,Provisional figure,2013,140872,6
Australia,2010,Total,Male,Adelaide,City proper,Estimate - de jure,Provisional figure,2012,588259,9
Australia,2010,Total,Male,Albury-Wodonga,City proper,Estimate - de jure,Provisional figure,2012,52541,9
Australia,2010,Total,Male,Brisbane,City proper,Estimate - de jure,Provisional figure,2012,1013453,9
Australia,2010,Total,Male,Cairns,City proper,Estimate - de jure,Provisional figure,2012,75750,9
Australia,2010,Total,Male,CANBERRA,City proper,Estimate - de jure,Provisional figure,2012,178242,9
Australia,2010,Total,Male,Canberra-Queanbeyan,City proper,Estimate - de jure,Provisional figure,2012,204631,9
